,date_premiere_cap,token,profil_utilisateur,year
0,2021-09-27,ANONYMOUSTOKEN4247,1,2021
1,2019-05-04,s9obju10,1,2019
2,2020-10-12,45412986,1,2020
3,2019-04-28,77395357,1,2019
4,2019-05-19,98885414,1,2019
5,2022-08-23,90313924,0,2022
6,2020-10-15,ANONYMOUSTOKEN3291,1,2020
7,2020-09-22,64199360,1,2020
8,2022-10-26,ANONYMOUSTOKEN5162,0,2022
9,2019-05-24,04065471,0,2019
10,2020-01-13,pjkop410,1,2020
11,2019-05-10,ANONYMOUSTOKEN2178,1,2019
12,2020-09-19,67456008,1,2020
13,2019-05-24,egha6n10,1,2019
14,2022-09-26,68610831,0,2022
15,2019-05-17,75706426,1,2019
16,2019-04-29,ANONYMOUSTOKEN1727,1,2019
17,2019-04-26,75727873,0,2019
18,2019-04-28,58980648,1,2019
19,2019-06-22,ANONYMOUSTOKEN2509,1,2019
20,2020-09-18,ANONYMOUSTOKEN3229,1,2020
21,2020-09-18,34045835,1,2020
22,2020-08-13,51480159,1,2020
23,2022-09-26,12092721,0,2022
24,2019-04-30,ANONYMOUSTOKEN1933,1,2019
25,2019-04-26,ANONYMOUSTOKEN1106,1,2019
26,2021-09-24,59241488,1,2021
27,2019-05-27,02364760,1,2019
28,2019-04-11,b3ywun10,1,2019
29,2019-04-27,18217811,1,2019
30,2019-04-29,37018015,1,2019
31,2020-09-21,ANONYMOUSTOKEN3365,1,2020
32,2020-09-23,46268146,1,2020
33,2020-07-18,93127630,1,2020
34,2021-08-03,ANONYMOUSTOKEN3582,1,2021
35,2020-07-16,ANONYMOUSTOKEN2943,1,2020
36,2021-09-27,ANONYMOUSTOKEN4244,1,2021
37,2020-10-18,d9nkzb10,1,2020
38,2021-09-15,TESTGFINBOSONY24,1,2021
39,2019-04-27,ANONYMOUSTOKEN1392,1,2019
40,2019-04-28,62644030,1,2019
41,2020-09-21,74793713,1,2020
42,2020-01-01,56874938,0,2020
43,2019-04-28,23298934,1,2019
44,2019-05-18,63841125,1,2019
45,2021-09-24,30154746,0,2021
46,2020-09-18,39844656,1,2020
47,2022-07-20,ANONYMOUSTOKEN4696,0,2022
48,2019-04-30,57915896,1,2019
49,2019-04-27,58543615,1,2019
50,2019-06-12,ANONYMOUSTOKEN2377,1,2019
51,2020-09-29,87113716,1,2020
52,2020-09-19,73012659,1,2020
53,2019-08-29,99628647,1,2019
54,2019-05-04,en9dhq10,1,2019
55,2019-05-17,68894658,1,2019
56,2020-07-11,ANONYMOUSTOKEN2942,1,2020
57,2022-09-29,19426985,0,2022
58,2019-05-11,66162764,1,2019
59,2022-10-07,ANONYMOUSTOKEN4893,0,2022
